stopTime:1556527293.000000s and checkThroughInterval:0.001000s
[1556527277.734211 s]:	received 1956248 bytes....
[1556527277.737613 s]:	received 1960592 bytes....
[1556527277.737698 s]:	received 1962040 bytes....
[1556527277.741722 s]:	received 1966384 bytes....
[1556527277.741803 s]:	received 1967832 bytes....
[1556527277.746018 s]:	received 1969280 bytes....
[1556527277.752964 s]:	received 1970728 bytes....
[1556527277.753749 s]:	received 1972176 bytes....
[1556527277.757992 s]:	received 1976520 bytes....
[1556527277.758238 s]:	received 1983760 bytes....
[1556527277.758330 s]:	received 1986656 bytes....
[1556527277.762264 s]:	received 1991000 bytes....
[1556527277.765446 s]:	received 1992448 bytes....
[1556527277.765505 s]:	received 1993896 bytes....
